hero_name,universe,alignment,salary,years_active,home_city
Thor,Marvel,Hero,999999,1000,Asgard
Aquaman,DC,Hero,105000,14,Atlantis
Captain America,Marvel,Hero,72000,14,Brooklyn
The Flash,DC,Hero,68000,6,Central City
The Flash,DC,Hero,68000,6,Central City
Cyborg,DC,Hero,61000,4,Detroit
Batman,DC,Hero,185000,20,Gotham City
Harley Quinn,DC,villain,45000,7,Gotham City
Catwoman,DC,Anti-Hero,330647,9,Gotham City
Catwoman,DC,Anti-Hero,330647,9,Gotham City
Joker,DC,Villain,330647,10,Gotham City 
Iron Man,Marvel,hero,1200000,15,Malibu
Superman,DC,Hero,330647,30,Metropolis
Lex Luthor,DC,Villain,2500000,18,Metropolis
Spider-Man,Marvel,Hero,52000,8,New York
Spider-Man,Marvel,Hero,52000,8,New York City
Deadpool,Marvel,Anti-Hero,15000,11,New York City
Green Goblin,Marvel,Villain,330647,5,New York City
Deadpool,Marvel,Anti-Hero,15000,11,New York City
Wonder Woman,DC,Hero,330647,11,Themyscira
Thanos,Marvel,Villain,0,25,Titan
